Start_Date,Start_Time,End_Date,End_Time,Title,Description,Location,Location_Details,All_Day_Event,Event_Type,Team1_ID,Team1_Division_ID,Team1_Is_Home,Team2_ID,Team2_Division_ID,Affects_Standings
9/26/2020,12:00 PM,9/26/2020,1:00 PM,Nichols at Lorimer,,YMCA,Court 2,0,Game,5957267,5957249,1,5957241,5957249,1
9/26/2020,12:00 PM,9/26/2020,1:00 PM,Connell at McFarland,,YMCA,Court 1,0,Game,5957262,5957249,1,5957264,5957249,1
9/26/2020,11:00 AM,9/26/2020,12:00 PM,Foster at BWhite,,YMCA,Court 1,0,Game,5957242,5957249,1,5957243,5957249,1
9/26/2020,11:00 AM,9/26/2020,12:00 PM,Kenton at Adams,,YMCA,Court 2,0,Game,5957265,5957249,1,5957240,5957249,1
10/3/2020,11:00 AM,10/3/2020,12:00 PM,Nichols at Connell,,YMCA,Court 1,0,Game,5957264,5957249,1,5957241,5957249,1
10/3/2020,12:00 PM,10/3/2020,1:00 PM,Lorimer at Foster,,YMCA,Court 2,0,Game,5957243,5957249,1,5957267,5957249,1
10/3/2020,12:00 PM,10/3/2020,1:00 PM,McFarland at Kenton,,YMCA,Court 1,0,Game,5957240,5957249,1,5957262,5957249,1
10/3/2020,11:00 AM,10/3/2020,12:00 PM,BWhite at Adams,,YMCA,Court 2,0,Game,5957265,5957249,1,5957242,5957249,1
10/10/2020,12:00 PM,10/10/2020,1:00 PM,Nichols at Foster,,YMCA,Court 1,0,Game,5957243,5957249,1,5957241,5957249,1
10/10/2020,11:00 AM,10/10/2020,12:00 PM,Connell at Kenton,,YMCA,Court 2,0,Game,5957240,5957249,1,5957264,5957249,1
10/10/2020,12:00 PM,10/10/2020,1:00 PM,Lorimer at Adams,,YMCA,Court 2,0,Game,5957265,5957249,1,5957267,5957249,1
10/10/2020,11:00 AM,10/10/2020,12:00 PM,McFarland at BWhite,,YMCA,Court 1,0,Game,5957242,5957249,1,5957262,5957249,1
10/17/2020,12:00 PM,10/17/2020,1:00 PM,Kenton at Nichols,,YMCA,Court 2,0,Game,5957241,5957249,1,5957240,5957249,1
10/17/2020,11:00 AM,10/17/2020,12:00 PM,Adams at Foster,,YMCA,Court 2,0,Game,5957243,5957249,1,5957265,5957249,1
10/17/2020,12:00 PM,10/17/2020,1:00 PM,BWhite at Connell,,YMCA,Court 1,0,Game,5957264,5957249,1,5957242,5957249,1
10/17/2020,11:00 AM,10/17/2020,12:00 PM,Lorimer at McFarland,,YMCA,Court 1,0,Game,5957262,5957249,1,5957267,5957249,1
10/24/2020,12:00 PM,10/24/2020,1:00 PM,Nichols at Adams,,YMCA,Court 1,0,Game,5957265,5957249,1,5957241,5957249,1
10/24/2020,11:00 AM,10/24/2020,12:00 PM,Kenton at BWhite,,YMCA,Court 2,0,Game,5957242,5957249,1,5957240,5957249,1
10/24/2020,12:00 PM,10/24/2020,1:00 PM,Foster at McFarland,,YMCA,Court 2,0,Game,5957262,5957249,1,5957243,5957249,1
10/24/2020,11:00 AM,10/24/2020,12:00 PM,Connell at Lorimer,,YMCA,Court 1,0,Game,5957267,5957249,1,5957264,5957249,1
10/31/2020,12:00 PM,10/31/2020,1:00 PM,Nichols at BWhite,,YMCA,Court 1,0,Game,5957242,5957249,1,5957241,5957249,1
10/31/2020,12:00 PM,10/31/2020,1:00 PM,Adams at McFarland,,YMCA,Court 2,0,Game,5957262,5957249,1,5957265,5957249,1
10/31/2020,11:00 AM,10/31/2020,12:00 PM,Lorimer at Kenton,,YMCA,Court 2,0,Game,5957240,5957249,1,5957267,5957249,1
10/31/2020,11:00 AM,10/31/2020,12:00 PM,Connell at Foster,,YMCA,Court 1,0,Game,5957243,5957249,1,5957264,5957249,1
11/7/2020,11:00 AM,11/7/2020,12:00 PM,McFarland at Nichols,,YMCA,Court 1,0,Game,5957241,5957249,1,5957262,5957249,1
11/7/2020,12:00 PM,11/7/2020,1:00 PM,BWhite at Lorimer,,YMCA,Court 2,0,Game,5957267,5957249,1,5957242,5957249,1
11/7/2020,12:00 PM,11/7/2020,1:00 PM,Adams at Connell,,YMCA,Court 1,0,Game,5957264,5957249,1,5957265,5957249,1
11/7/2020,11:00 AM,11/7/2020,12:00 PM,Kenton at Foster,,YMCA,Court 2,0,Game,5957243,5957249,1,5957240,5957249,1
