Start_Date,Start_Time,End_Date,End_Time,Title,Description,Location,Location_Details,All_Day_Event,Event_Type,Team1_ID,Team1_Division_ID,Team1_Is_Home,Team2_ID,Team2_Division_ID,Affects_Standings
9/26,1:00 PM,9/26,2:00 PM,Adams at Nichols,Exhibition,YMCA,Court 2,0,Game,5957241,5957249,1,5957265,5957249,0
9/26,12:00 PM,9/26,1:00 PM,McFarland at BWhite,Exhibition,YMCA,Court 1,0,Game,5957242,5957249,1,5957262,5957249,0
9/26,11:00 AM,9/26,12:00 PM,Lorimer at Connell,Exhibition,YMCA,Court 1,0,Game,5957264,5957249,1,5957267,5957249,0
9/26,11:00 AM,9/26,12:00 PM,Kenton at Foster,Exhibition,YMCA,Court 2,0,Game,5957243,5957249,1,5957240,5957249,0
10/3,11:00 AM,10/3,12:00 PM,Adams at McFarland,Exhibition,YMCA,Court 1,0,Game,5957262,5957249,1,5957265,5957249,0
10/3,1:00 PM,10/3,2:00 PM,Nichols at Lorimer,Exhibition,YMCA,Court 2,0,Game,5957267,5957249,1,5957241,5957249,0
10/3,12:00 PM,10/3,1:00 PM,BWhite at Kenton,Exhibition,YMCA,Court 1,0,Game,5957240,5957249,1,5957242,5957249,0
10/3,11:00 AM,10/3,12:00 PM,Connell at Foster,Exhibition,YMCA,Court 2,0,Game,5957243,5957249,1,5957264,5957249,0
10/10,12:00 PM,10/10,1:00 PM,Adams at Lorimer,Exhibition,YMCA,Court 1,0,Game,5957267,5957249,1,5957265,5957249,0
10/10,11:00 AM,10/10,12:00 PM,McFarland at Kenton,Exhibition,YMCA,Court 2,0,Game,5957240,5957249,1,5957262,5957249,0
10/10,1:00 PM,10/10,2:00 PM,Nichols at Foster,Exhibition,YMCA,Court 2,0,Game,5957243,5957249,1,5957241,5957249,0
10/10,11:00 AM,10/10,12:00 PM,BWhite at Connell,Exhibition,YMCA,Court 1,0,Game,5957264,5957249,1,5957242,5957249,0
10/17,1:00 PM,10/17,2:00 PM,Kenton at Adams,Exhibition,YMCA,Court 2,0,Game,5957265,5957249,1,5957240,5957249,0
10/17,11:00 AM,10/17,12:00 PM,Foster at Lorimer,Exhibition,YMCA,Court 2,0,Game,5957267,5957249,1,5957243,5957249,0
10/17,12:00 PM,10/17,1:00 PM,Connell at McFarland,Exhibition,YMCA,Court 1,0,Game,5957262,5957249,1,5957264,5957249,0
10/17,11:00 AM,10/17,12:00 PM,Nichols at BWhite,Exhibition,YMCA,Court 1,0,Game,5957242,5957249,1,5957241,5957249,0
10/24,12:00 PM,10/24,1:00 PM,Adams at Foster,Exhibition,YMCA,Court 1,0,Game,5957243,5957249,1,5957265,5957249,0
10/24,11:00 AM,10/24,12:00 PM,Kenton at Connell,Exhibition,YMCA,Court 2,0,Game,5957264,5957249,1,5957240,5957249,0
10/24,1:00 PM,10/24,2:00 PM,Lorimer at BWhite,Exhibition,YMCA,Court 2,0,Game,5957242,5957249,1,5957267,5957249,0
10/24,11:00 AM,10/24,12:00 PM,McFarland at Nichols,Exhibition,YMCA,Court 1,0,Game,5957241,5957249,1,5957262,5957249,0
10/31,12:00 PM,10/31,1:00 PM,Adams at Connell,Exhibition,YMCA,Court 1,0,Game,5957264,5957249,1,5957265,5957249,0
10/31,1:00 PM,10/31,2:00 PM,Foster at BWhite,Exhibition,YMCA,Court 2,0,Game,5957242,5957249,1,5957243,5957249,0
10/31,11:00 AM,10/31,12:00 PM,Nichols at Kenton,Exhibition,YMCA,Court 2,0,Game,5957240,5957249,1,5957241,5957249,0
10/31,11:00 AM,10/31,12:00 PM,McFarland at Lorimer,Exhibition,YMCA,Court 1,0,Game,5957267,5957249,1,5957262,5957249,0
11/7,11:00 AM,11/7,12:00 PM,BWhite at Adams,Exhibition,YMCA,Court 1,0,Game,5957265,5957249,1,5957242,5957249,0
11/7,1:00 PM,11/7,2:00 PM,Connell at Nichols,Exhibition,YMCA,Court 2,0,Game,5957241,5957249,1,5957264,5957249,0
11/7,12:00 PM,11/7,1:00 PM,Foster at McFarland,Exhibition,YMCA,Court 1,0,Game,5957262,5957249,1,5957243,5957249,0
11/7,11:00 AM,11/7,12:00 PM,Kenton at Lorimer,Exhibition,YMCA,Court 2,0,Game,5957267,5957249,1,5957240,5957249,0
